Position,Company_Name,Location,Post_Month,Post_Year,Details
Senior Django Backend Developer,UBIAI,Tunisia,May,2022,"Description:
In your role as Django Backend Developer, you’ll handle all product development for UBIAI products with the help of dev engineers. UBIAI is a text analytics tool for Natural Language Processing that helps users create and deploy machine learning models for their specific applications.

Responsibilities:
Build new features, design architecture for new products, and help maintain a high degree of reliability
Ability to think critically to solve complex problems
Take responsibility for their tasks and pride in their work
Work product conforms to requirements, meets acceptance criteria, and has minimal (preferably no) defects

Requirements:
Work experience using python 3+
Understanding of Django fundamentals including forms, REST framework, models/ORM, storages, compressor, templates, migrations, and unit tests
Full Stack development experience
Familiarity with Docker containerization
Security and computational awareness
MVC, OOP, DRY, and Design pattern adeptness
Understanding databases and CRUD
Debugging skills using an IDE(PyCharm) or pdb/ipdb
Knowledge in AWS and GCP infrastructure
Experience with Elasticsearch, MongoDB and postgres
Experience with CI/CD pipelines"
Assistant de recherche,3engines,"Tunis, Tunis, Tunisia",May,2022,"faire des essais de fatigue.
bonne connaissance de l'aérodynamique.
simulation numérique en testant des différents contraintes appliquées sur les ailes d'avion.
Maîtrise parfaite des choix des métaux."
Python Engineer (Remote),Gemography,Tunisia,May,2022,"About Gemography
Join Gemography and work directly with top tech companies from New York, LA, San Francisco and Paris on large-scale applications and systems.
It's remote, long term and comes with a permanent contract (CDI). After you apply and go through our 3-steps screening process, you'll be selected to join a squad working with one of our partner startups.

Your Day-to-Day
You'll work with other software engineers to build and own features across a modern tech stack.
Turn technical requirements into a plan to execute, test and deliver on time.
Continually learn and apply relevant software development practices, patterns, tools and technologies.
Mentoring your peers or be mentored by your peers in various in-house mentorship.
Contribute to improving engineering standards, tooling, and processes.

What we're looking for
1+ years of full-time work experience with one or more general programming languages (e.g. Python, JavaScript, Ruby ...)
Strong knowledge of at least one Backend framework (e.g Django, Express ...)
You care about code quality and you know what it means to ship high quality code.
You know and want to learn more about software best practices such as refactoring, clean code, CI/CD.
You’re a fast learner, can contribute from day one as well as integrate and apply new concepts quickly.
You take pride in what you create and passionate about getting the details right, even when no one's looking.

Benefits & Perks
Competitive salaries and performance bonuses.
Your own Spotify Premium 🎧 and Netflix🍿 accounts .
24-days paid time-off (+ public holidays).
Health insurance & pension.

Important
Resume/cover letter are optional.
The job role is fully remote.
It's long-term and comes with an indefinite period employment contract."
Data Scientist - Tunis,Jumia Group,"Tunis, Tunis, Tunisia",May,2022,"About Jumia:

Jumia is the leading pan-Africa e-commerce platform. Founded in 2012, Jumia's mission is to improve the quality of everyday life in Africa by leveraging technology to deliver innovative, convenient and affordable online services to consumers, while helping businesses grow as they use our platform to reach and serve consumers.

Our platforms consist of our marketplace, which connects sellers with consumers, our logistics service, which enables the shipment and delivery of packages from sellers to consumers, and our payment service, which facilitates transactions among participants active on our platform in selected markets. Through our online platforms, consumers can access a wide range of physical and digital goods and services, fashion, electronics, beauty products and also hotel and flight bookings or restaurant delivery.

With over 5,000 employees in more than 10 countries in Africa, Jumia is led by top talented leaders offering a great mix of local and international talents and is backed by very high-profile shareholders. Jumia is committed to creating sustainable impact for Africa. Jumia offers unique opportunities in a vibrant and booming environment, creating new jobs, new skills, and empowering a new generation.

On the Data science part, Jumia is heavily accelerating. With tons of data already gathered and usable, our intent is really to spread its use to be everyday more data-driven.

We are looking for talented people with a passion for Africa to join our team and embark on our exciting journey!

What's this job all about?

A key element to help Jumia grow is to use an unprecedented amount of data available to make smart decisions. Data Science team is an agile and international team spread across different countries. Data Scientists are working closely with Big Data engineers, business stakeholders and Product owners. Data Science team is involved in various projects (to name a few):
Delivery route optimisation
Product image similarity
Product/Restaurant recommendations
User segmentations
User search queries segmentation
Fraud detection
Loan default prediction

To take us to the next level, we are looking for a proactive Data Scientist with hands-on experience with either of the said areas. The ideal candidate would be able to design and implement data science analysis and models to find patterns in the data and understand the quality of it.

What you'll be doing:
Develop end-to-end understanding of all data science projects objectives
Working with the team to deliver impact
Evaluate models and fine tune model parameters considering the business problem behind.
Be able to take responsibility about the topic
Working closely with data / bigData engineers to deploy the models into production and ensure scalability

What we're looking for:
Master degree (with 2+ years of experience) in data science or similar field
Very comfortable using pandas, numpy, scikit-learn, xgboost and matplotlib
Experience in one or more programming languages (Python, R, etc.)
Advanced SQL
Knowledge of applied statistics (fit regression curves, build predictive models, statistical significance)
Good communication skills
Nice to have: experience in NLP, Deep Learning related libs (e.g. TensorFlow, Keras, PyTorch), PySpark, Solver, AB tests

We Offer
A unique experience in an entrepreneurial, yet structured environment
A unique opportunity of having strong impact in building the African ecommerce sector
The opportunity to become part of a highly professional and dynamic team
An unparalleled personal and professional growth as our longer-term objective is to train the next generation of leaders"
Développeur Python Senior / Tech lead,Agence des Monts,"Tunis, Tunisia",May,2022,"L'Agence des Monts, basée à Tunis, est une société spécialisée dans l'édition de solutions SaaS et d'applications mobiles.
L'Agence recrute un leader technique Python. Nous ne recruterons aucun profil avec moins de 4 ans d'expérience HORS PFE, CIVP, ...

Votre mission : la supervision des points suivants :
Implémentation des bibliothèques AI
Training, prototypage et développement des algorithmes
Sélection des technologies les plus pertinentes
Test des algorithmes sur dataset internes mais également en condition réelles
Optimisation des modèles : amélioration des performances en terme de temps de calcul et robustesse
Intégration des modèles en environnement de production

Pour mener à bien ces travaux, vous participerez également au développement du framework de machine learning interne :

Modules d’apprentissage génériques
Automatisation des expérimentations
Planification de calculs sur clusters de serveur en fonction des besoins
Mise en place d’outils de suivi et d'agrégation des métriques

A propos de vous

1/ Compétences clés
Solides compétences en développement (Python)
Connaissances de base des frameworks Deep Learning: PyTorch ou Tensorflow
Familiarité avec les services Cloud (Google Cloud Plateform, AWS, Kubernetes)
Familiarité avec les outils habituels de développement: CLI, Git, Testing, Docker etc.
Excellent style de programmation et grande rigueur dans la documentation du travail et du code produit.
Français et anglais opérationnels, bonne communication orale et écrite, fort esprit d’équipe, bonne capacité d’adaptation.

2/ Compétences appréciées
De formation ingénieur ou universitaire (Bac +5 minimum) en Computer Science ou équivalent :
> vous justifiez d’une première expérience en Deep Learning
> vous avez une bonne autonomie en programmation
> vous avez des connaissances solides dans les domaines liés au Machine Learning et Data Science
> vous êtes autonome, rigoureux, curieux
> votre motivation sera un facteur clé pour une bonne intégration dans notre équipe et une collaboration réussie.

Temps de travail / Rémunération :
40h par semaine
Rémunération selon le profil
Pour plus d'informations, nous contacter par email en indiquant la référence de l'annonce.
Type d’emploi
Te"
DEVELOPPEUR PYTHON BDD h/f,Iress,"Tunis, Tunis, Tunisia",April,2022,"See yourself being part of a large, transformational change? This could be the role for you!

DEVELOPPEUR PYTHON BDD h/f

Day To Day

Vous intégrerez la taskforce en charge de la conception technique et de la mise en œuvre des services de données. Au sein d'une équipe Engineering agile, vous participerez à la conception, à l'implémentation, au test et au support de nos produits Data.

En particulier, vous utiliserez Python, Shell Unix, SQL / NoSQL et différentes lignes de commande pour extraire, transformer / convertir et transférer d'importants jeux de données.

Autonome sur votre activité, vous interviendrez sur l'ensemble du cycle de vie de nos solutions et serez amené à collaborer étroitement avec les équipes produit, opérations et support client pour apporter votre expertise.

Profile

De formation supérieure, vous avez l'expérience de toutes les phases du développement logiciel, y compris test et documentation. Une forte maîtrise des langages de script (idéalement Python) et des lignes de commande sous Linux ainsi qu’une bonne maitrise des bases de données SQL et NoSQL sont indispensable. Des connaissances en finance de marché seraient un plus, mais si vous n'en avez pas, votre curiosité et votre appétence pour développer vos connaissances et votre pratique vous permettront d'être rapidement opérationnel.

Très rigoureux et organisé, vous êtes méthodique et faites attention aux détails. Votre curiosité et vos qualités relationnelles vous permettront de vous intégrer rapidement dans nos équipes.

Employment Type

Employee

Time Type

Full time"
Data Science Lead,Acredius,"Tunis, Tunisia",April,2022,"Acredius Group general description
Acredius Group (“Acredius”) is a Swiss Fintech group. Having the mission to make an impact in the real economy and be one of the future leaders of innovation, Acredius provides an ecosystem supporting entrepreneurs and investors. Acredius assists them throughout their journey, especially with:
A Crowdlending online platform that makes investors’ and borrowers’ needs meet in an unconventional, digital, intuitive and safe environment
A Private Equity Fundraising offer for promising startups and dynamic companies searching for equity investments
A Growth Strategy arm that closes the loop of the company’s journey by supporting it pre-, during and post fundraising, or credit obtention

Acredius Tunisia Center of Excellence (ATUCE) description
ATUCE is a new arm of Acredius focused on Artificial Intelligence (AI) and data-driven decision making. Its purpose is to help international clients stay relevant in a customer-centric and insights-driven future. 
ATUCE is the brain and intellectual property behind Acredius’ strategic moves.

What we offer
The opportunity to actively have an economic impact by helping innovation go from ideas to life-changing products and services
Access to international markets using Swiss enabled capabilities
An inspiring working environment fuelled by a Swiss quality label and Tunisian talents
A guaranteed steep learning curve
A sharp and motivated team in a results-driven environment
Visits and trainings in Zürich (Switzerland), home of the Acredius Group headquarter
An international and multicultural team representing 11 nationalities and 4 continents
Being part of the Acredius worldwide expansion and in the driver seat of local/global innovation
An attractive compensation package

Key responsibilities
Lead data science projects and manage/grow a team of data scientists and engineers responsible for solving real-world business problems with Machine Learning (ML), Deep Learning (DL) and Natural Language Processing (NLP) techniques
Provide hands-on technical leadership as well as combine business acumen with excellent problem-solving skills
Partner with cross-functional teams, develop and prioritize data science roadmaps and proactively drive projects to completion
Enable clients to scale data and AI across their businesses
Always keep an eye on projects’ progress, risks and budget
Drive the development of data science practices across Acredius teams and departments
Run continuous improvement of data science, data engineering practices and tools to create world-class capabilities
Build the Acredius brand by engaging in internal Proof of Concepts (POCs), conferences, meetups, blogs, and other external public engagements
Take charge of the recruitment of internal and external resources and ensure the follow-up of skills improvement, attend career fairs and create strong interview pipelines

Candidate profile
Master’s degree in Statistics, or Data-related fields
5+ years hands-on experience in Data Science or Machine Learning engineering
Proven track record of successfully leading Data Science/mixed capability teams
Strong communication skills, both written and oral
Comfortable presenting findings and recommendations to decision-makers
Fluent in English, other languages are a plus
Entrepreneurial spirit and startup mindset. Humility and engagement are strong values
Real go-getter who strives for results and is motivated by ‘wins’
Ability to show initiative/forward-thinking and be proactive
Excellent attention to detail, whilst having the ability to connect the detail with the wider context
Enthusiasm and curiosity about the intersection of business, technology and data
Passion to experiment and discover, learn quickly, and work well with diverse backgrounds
Proven champion of agile product development practices

We are looking forward to receiving your application!

The Acredius Team"
"GRADUATE SOFTWARE ENGINEER - Dubai, UAE",Cobblestone Energy,"Tunis, Tunis, Tunisia",April,2022,"Starting salary of 50,000 USD per annum in a zero-tax environment.

Fast progression for strong performers.

Job location: Dubai, UAE

About us:

Cobblestone Energy is a proprietary trading firm that specializes in the wholesale electricity market across Europe. Electricity is fundamental to the world's economic activities. We trade enough electricity every day to power a small country, and in doing so, we help to address the mismatch between electricity generation and consumption.

Job Description

At Cobblestone Energy we are on a mission to build the most advanced European electricity trading and analytics platform, with our technology being used by our teams of commercial traders to create significant value. We are looking for enthusiastic and resourceful developers who are passionate about building exceptionally reliable and performance data processing solutions. You want to help the commercial team make data-informed decisions, have a curious mindset, and are motivated to understand our business better. Developing a strong domain knowledge of our industry over time is key to long term success in this role.

If you have excellent programming skills, strong problem-solving skills, and a passion for developing and improving applications utilizing cutting edge technologies, then we would like to meet you.

What We Offer In This Role
Competitive remuneration, with fast progression for strong performers.
A challenging but exciting, open, and fun work environment.
An opportunity to work with remarkably talented colleagues.
Vast growth potential in every aspect.
15% target bonus with further upside.
Employee share scheme participation
International relocation support
Opportunity to be embedded within a commercial team for those with strong commercial interest

Responsibilities
Write software applications and programs for backend/frontend purposes.
Analyse programs and apps to improve their features and functionalities.
Test & debug programs and fix any reported bugs.
Collaborate with the tech team to improve the performance, efficiency, and scalability of our tools.

Requirements
BS/BE in Computer Science/Computer Engineering/Electrical & Computer Eng.
Programming skills in Python language.
Knowledge of at least one popular Python framework (like Django, Flask ...) is a plus.
Programming skills in Java is a plus.
Familiarity & Knowledge in front-end technologies such as HTML5, CSS, JQuery, JS, etc.
Strong knowledge of REST APIs and webservices.
Strong knowledge of Relational Databases (MySQL, PostgreSQL, SQL Server ...) and SQL language.
Knowledge of NoSQL databases is a plus.
Knowledge of AWS is a plus / Knowledge of data visualization tools, mainly Tableau, is a plus.
Ability to work in a team environment.
Strong problem-solving skills and analytical skills.
Resilience and a determination to succeed.
Independent thinkers with growth mindset.
Must be passionate, self-motivated, and able to learn quickly.
Strong sense of integrity.
Personal values that match our company values."
Développeur Full Stack /Python/Django,ODDO BHF,"Tunis, Tunisia",April,2022,"ODDO BHF est un groupe financier franco-allemand fort d'une histoire de plus de 150 ans. Il est issu d'une entreprise familiale française qui s'est construite sur cinq générations d'agents de change et d'une banque allemande spécialiste du Mittelstand.
Avec 2300 collaborateurs, et plus de 100 milliards d’encours clients, ODDO BHF exerce trois grands métiers, basés sur un fort investissement dans les expertises de marché : banque privée, gestion d'actifs, banque de financement et d'investissement.
Le Groupe est doté d’une structure actionnariale unique puisque son capital est détenu à 60 % par la famille Oddo et à 25 % par les équipes. Cette logique de partnership est le gage de l’implication des équipes sur le long terme.
ODDO BHF Tunis est une entreprise de services financiers en pleine croissance créée en 2009 afin d’accompagner le développement du Groupe ODDO BHF.
Avec plus de 280 collaborateurs, elle exerce aujourd’hui ses activités dans deux domaines principaux : l’analyse financière, et l’informatique.
L’équipe de recherche actions contribue à la couverture de plus de 400 sociétés européennes cotées et au succès du bureau d’études ODDO BHF Securities, qui bénéficie d’une forte notoriété internationale. L’équipe informatique assure le développement des solutions métier et de tous les sites web, et apporte son expertise aux projets informatiques stratégiques du Groupe.
Par ailleurs, ODDO BHF a renforcé sa présence en Tunisie durant ces deux dernières années à travers les équipes supports et transverses comme le juridique, compliance, finance, comptabilité, sécurité des systèmes d’information, innovation technologique, et services.
Innovant sur le marché tunisien, ODDO BHF Tunis se développe rapidement et ambitionne d’accroître ses effectifs et d’être acteur majeur dans la croissance du Groupe.
Mission :
Au sein de ODDO BHF Tunis, vous rejoindrez l’équipe Data Excellence chargée de mettre en œuvre les solutions Data Science pour le groupe.
En tant que Développeur Full Stack Python/Django, vos principales missions seront les suivantes :
Rédiger et valider les spécifications fonctionnelles
Développer et maintenir des services et des applications front et back en Python/Django
Participer au déploiement des applications Python/Django
Intégrer des modèles Machine Learning dans des applications Python/Django
Réaliser des tests unitaires
Maintenir et faire évoluer des applications existantes
Documenter vos développements
Profil :
ou équivalent universitaire (Bac +5), avec minimum 3 ans d'expérience dans la conception et le développement Full Stack Python/Django.
techniques requises :
3 ans d’expérience minimum en développement Python/Django et Javascript
Expérience en développement APIs Rest et Django Rest framework
Excellente maitrise de HTML et CSS et de responsive design
Maîtrise des méthodologies de développement et des Web Services
Bonne compréhension des workflows de versioning (Git, SVN…) et de déploiement
Connaissance d’un framework JS comme React ou vue.js serait un plus
Connaissances en Machine Learning seraient un plus
Connaissances en Microsoft Azure seraient un plus ; Possibilité d'obtenir une formation et une certification Microsoft Azure
Qualités Requises :
Être passionné par les nouvelles technologies et aimer apprendre continuellement
Bonne communication et attitude à travailler en équipe et dans un contexte d’urgence client
Organisé, rigoureux et persévérant, vous avez le sens du timing et la capacité de mener des projets à temps
Autonome, vous avez le sens des responsabilités et l’esprit d’initiative
Français courant, très bon niveau d'anglais, l'allemand serait un plus"
Ingénieur Data,Amaris Consulting,"Tunis, Tunisia",April,2022,"Nous souhaitons renforcer notre équipe d'Ingénieurs Data en intégrant de nouveaux collaborateurs capables d’apporter leur expertise.

En tant qu'ingénieur data et en collaboration directe avec l'équipe technique vous serez amené à travailler de pair avec les métiers DCI afin de comprendre leur besoin, leur mode de fonctionnement, les données à analyser, et leur présenter les résultats de ses automatisations afin de valider leur bon fonctionnement.

Profil :
Connaissances en Développement SQL
Bases de données MSSQL, Oracle SQL, PostgreSQL
Redash, Jupyter
Python, PySpark, Airflow
une connaissance des métiers du déploiement Telecom (Réseau, Transport, Quality of Service) est souhaitable.
Une experience dans un opérateur téléphonique est souhaitable"
